key,wg_length,C11
waveguide_coupler_width_10.0,10.0,3.0940589106284e-15
waveguide_coupler_width_103.10000000000001,103.10000000000001,1.852078080622278e-14
waveguide_coupler_width_108.0,108.0,1.933346516570062e-14
waveguide_coupler_width_112.9,112.9,2.013448664755119e-14
waveguide_coupler_width_117.80000000000001,117.80000000000001,2.093360361116682e-14
waveguide_coupler_width_122.7,122.7,2.171666742235994e-14
waveguide_coupler_width_127.60000000000001,127.60000000000001,2.252019045634838e-14
waveguide_coupler_width_132.5,132.5,2.331455650957973e-14
waveguide_coupler_width_137.4,137.4,2.413832764637711e-14
waveguide_coupler_width_14.9,14.9,3.964222054092396e-15
waveguide_coupler_width_142.3,142.3,2.493737817264107e-14
waveguide_coupler_width_147.20000000000002,147.20000000000002,2.573742263910394e-14
waveguide_coupler_width_152.10000000000002,152.10000000000002,2.65365393093329e-14
waveguide_coupler_width_157.0,157.0,2.733905826546345e-14
waveguide_coupler_width_161.9,161.9,2.8141349628906048e-14
waveguide_coupler_width_166.8,166.8,2.893708018514429e-14
waveguide_coupler_width_171.70000000000002,171.70000000000002,2.971004829856364e-14
waveguide_coupler_width_176.60000000000002,176.60000000000002,3.054640218717312e-14
waveguide_coupler_width_181.5,181.5,3.13431820869223e-14
waveguide_coupler_width_186.4,186.4,3.213368817706498e-14
waveguide_coupler_width_19.8,19.8,4.807393984392297e-15
waveguide_coupler_width_191.3,191.3,3.293709229519422e-14
waveguide_coupler_width_196.20000000000002,196.20000000000002,3.372755272664943e-14
waveguide_coupler_width_201.10000000000002,201.10000000000002,3.452466847152353e-14
waveguide_coupler_width_206.0,206.0,3.53238222514801e-14
waveguide_coupler_width_210.9,210.9,3.612404825050128e-14
waveguide_coupler_width_215.8,215.8,3.692536959927504e-14
waveguide_coupler_width_220.70000000000002,220.70000000000002,3.772606060842381e-14
waveguide_coupler_width_225.60000000000002,225.60000000000002,3.843993085608702e-14
waveguide_coupler_width_230.50000000000003,230.50000000000003,3.924851107644997e-14
waveguide_coupler_width_235.4,235.4,4.005700977409503e-14
waveguide_coupler_width_24.700000000000003,24.700000000000003,5.632590020892661e-15
waveguide_coupler_width_240.3,240.3,4.092320023837375e-14
waveguide_coupler_width_245.20000000000002,245.20000000000002,4.164617278530104e-14
waveguide_coupler_width_250.10000000000002,250.10000000000002,4.243674392495336e-14
waveguide_coupler_width_255.00000000000003,255.00000000000003,4.329534800030045e-14
waveguide_coupler_width_259.9,259.9,4.410577191706883e-14
waveguide_coupler_width_264.8,264.8,4.487221292654565e-14
waveguide_coupler_width_269.70000000000005,269.70000000000005,4.567236070576167e-14
waveguide_coupler_width_274.6,274.6,4.646295124821297e-14
waveguide_coupler_width_279.5,279.5,4.729612515284252e-14
waveguide_coupler_width_284.40000000000003,284.40000000000003,4.808620933028377e-14
waveguide_coupler_width_289.3,289.3,4.887828666751098e-14
waveguide_coupler_width_29.6,29.6,6.452638803154339e-15
waveguide_coupler_width_294.20000000000005,294.20000000000005,4.96770051094935e-14
waveguide_coupler_width_299.1,299.1,5.047200798193372e-14
waveguide_coupler_width_304.0,304.0,5.126970152784042e-14
waveguide_coupler_width_308.90000000000003,308.90000000000003,5.207921994237998e-14
waveguide_coupler_width_313.8,313.8,5.286318575641935e-14
waveguide_coupler_width_318.70000000000005,318.70000000000005,5.36575159259872e-14
waveguide_coupler_width_323.6,323.6,5.445766509923627e-14
waveguide_coupler_width_328.5,328.5,5.531723759822348e-14
waveguide_coupler_width_333.40000000000003,333.40000000000003,5.607950278205004e-14
waveguide_coupler_width_338.3,338.3,5.687734164385662e-14
waveguide_coupler_width_34.5,34.5,7.267993110201346e-15
waveguide_coupler_width_343.20000000000005,343.20000000000005,5.767558011524647e-14
waveguide_coupler_width_348.1,348.1,5.851705057693323e-14
waveguide_coupler_width_353.0,353.0,5.926240713290097e-14
waveguide_coupler_width_357.90000000000003,357.90000000000003,6.005886092512473e-14
waveguide_coupler_width_362.8,362.8,6.085551413985218e-14
waveguide_coupler_width_367.70000000000005,367.70000000000005,6.165964305584326e-14
waveguide_coupler_width_372.6,372.6,6.248746273263145e-14
waveguide_coupler_width_377.5,377.5,6.328369849359727e-14
waveguide_coupler_width_382.40000000000003,382.40000000000003,6.407974400706813e-14
waveguide_coupler_width_387.3,387.3,6.487662809448003e-14
waveguide_coupler_width_39.400000000000006,39.400000000000006,8.077756178850769e-15
waveguide_coupler_width_392.20000000000005,392.20000000000005,6.567437106885882e-14
waveguide_coupler_width_397.1,397.1,6.643074250530059e-14
waveguide_coupler_width_402.0,402.0,6.72632803799048e-14
waveguide_coupler_width_406.90000000000003,406.90000000000003,6.801738136043192e-14
waveguide_coupler_width_411.8,411.8,6.881760788955395e-14
waveguide_coupler_width_416.70000000000005,416.70000000000005,6.965498819118617e-14
waveguide_coupler_width_421.6,421.6,7.044381330033834e-14
waveguide_coupler_width_426.50000000000006,426.50000000000006,7.124793960569901e-14
waveguide_coupler_width_431.40000000000003,431.40000000000003,7.205878611851772e-14
waveguide_coupler_width_436.3,436.3,7.285276707139954e-14
waveguide_coupler_width_44.300000000000004,44.300000000000004,8.891999851661944e-15
waveguide_coupler_width_441.20000000000005,441.20000000000005,7.363974436576032e-14
waveguide_coupler_width_446.1,446.1,7.443395862932395e-14
waveguide_coupler_width_451.00000000000006,451.00000000000006,7.518516077461882e-14
waveguide_coupler_width_455.90000000000003,455.90000000000003,7.59822420159001e-14
waveguide_coupler_width_460.8,460.8,7.684388768990718e-14
waveguide_coupler_width_465.70000000000005,465.70000000000005,7.764834835188988e-14
waveguide_coupler_width_470.6,470.6,7.844282732488095e-14
waveguide_coupler_width_475.50000000000006,475.50000000000006,7.924191937660234e-14
waveguide_coupler_width_480.40000000000003,480.40000000000003,7.996674593717213e-14
waveguide_coupler_width_485.3,485.3,8.083948324159104e-14
waveguide_coupler_width_49.2,49.2,9.6929546624119e-15
waveguide_coupler_width_490.20000000000005,490.20000000000005,8.163586277286337e-14
waveguide_coupler_width_495.1,495.1,8.243188214977294e-14
waveguide_coupler_width_500.0,500.0,8.323612913206273e-14
waveguide_coupler_width_54.1,54.1,1.049844497529179e-14
waveguide_coupler_width_59.0,59.0,1.130141030069593e-14
waveguide_coupler_width_63.900000000000006,63.900000000000006,1.210371174961243e-14
waveguide_coupler_width_68.80000000000001,68.80000000000001,1.290654794697829e-14
waveguide_coupler_width_73.7,73.7,1.3712569986353e-14
waveguide_coupler_width_78.60000000000001,78.60000000000001,1.451320572233136e-14
waveguide_coupler_width_83.5,83.5,1.531525157744495e-14
waveguide_coupler_width_88.4,88.4,1.611521589665098e-14
waveguide_coupler_width_93.30000000000001,93.30000000000001,1.692086821977628e-14
waveguide_coupler_width_98.2,98.2,1.772169213553462e-14
